PLAYER_ID,POSITION
203824,G
204322,C-F
1630150,G
1630462,G
1630153,F
204325,G-F
1627675,G
204355,G
203026,G
203403,F
200676,F
1628881,F
203015,F
1628890,G
1627674,G-F
201496,F-C
1628882,G
1630389,G
201516,G
202664,G
1630113,F
1628922,F-C
203828,C
203838,C-F
1629492,F
1629567,G
1630097,G-F
1630120,F
202662,G
201896,G
1630096,G-F
201886,F-G
203826,F
1627673,F
1628280,F
1630149,F
1629497,G
1627669,G
203866,F
1628277,G
204330,F
1629481,G
1630386,C
1630093,C-F
1630440,G
1630454,F-C
1630112,G
1628909,G
1630458,G
202658,G
1630438,G
1630437,F
1628263,G
202650,F
1629479,C
1627676,G
1628242,F
1628927,G
1630043,C
202638,F
1629498,G
203029,G
204324,F
202633,C
1628276,G
203833,G
1628917,C
1628932,F
1630435,G
201881,F-G
204329,C
204320,C
1630099,G
1628269,F
203823,F-C
1630100,F
1628279,G
204365,G
201911,G
1630441,G
203014,F
1630444,F
1630452,G-F
1630101,G
1627672,F-G
1629524,F
203406,G
1629491,F
203831,F
203024,F
1627687,C-F
1627671,G
203825,G
1629483,F
201480,C
1630127,F
204334,F
1630459,G-F
1630119,G
203827,F
204296,G
1630446,F
1630139,F-G
1629477,G
1630131,F
1628244,G
204335,G-F
1628915,G
201913,C
1630136,F
100940,G
203400,G
203035,G
1629482,G
1629501,F
203829,G
1629488,F
203398,C
1628920,C
203855,F
1629568,G-F
100720,G
202259,G
1629496,C
1628886,G
204332,F
204319,G
1627668,F
1629478,F
1628317,F
1628899,F
201507,G
1628878,G
204333,G
1629484,C
203399,F-G
1628282,G
201919,G
1628286,F
202250,C
1628278,G
203849,F
