PLAYER_ID,POSITION
1629632,Guard
1629634,Forward
1629636,Guard
1629637,Center-Forward
1629638,Guard
1629639,Guard
1629640,Forward-Guard
1629645,Guard-Forward
1629646,Center-Forward
1629651,Center
1629652,Guard
1629655,Forward-Center
1629656,Guard
1629660,Guard-Forward
1629661,Forward
1630559,Guard
1629673,Guard
1629674,Center
1629675,Center-Forward
1630560,Guard
1629680,Guard-Forward
1629684,Forward
1641989,Guard
1641998,Center
1629723,Guard
1642876,Guard
1630570,Guard-Forward
1629731,Forward-Center
1629750,Guard
1642050,Forward
1642066,Forward
1627734,Forward-Center
1627739,Guard
202331,Forward
1627741,Guard
1627742,Forward
1627747,Guard
1627749,Guard
1627750,Guard
1627751,Center
1627752,Forward
1627759,Guard-Forward
1627777,Forward
1627780,Guard
1627783,Forward
1630592,Forward
204456,Guard
1627824,Forward
1627826,Center
1627827,Forward
1627832,Guard
1627884,Forward
1642258,Forward
1642259,Center
1642260,Guard
1642261,Forward
1642262,Forward
1642263,Guard
1642264,Guard
1642265,Guard
1642266,Guard
1642267,Guard
1642268,Guard
1642269,Guard
1642270,Center
1642271,Center
1627936,Guard
1642273,Forward
1642272,Guard
1642274,Center
1642275,Forward
1642277,Guard
1642278,Guard
1642276,Center
1642280,Forward
1642281,Guard-Forward
1642282,Guard
1642285,Guard
1642345,Forward
1642346,Forward
1642347,Guard
1642348,Forward
1642349,Guard
1642352,Forward
1642353,Guard
1642354,Guard
1642355,Guard
1642849,Guard
1642357,Forward
1642358,Guard
1642359,Forward
1642850,Center
1642363,Guard
1642364,Forward
1642365,Guard
1642366,Center
1642367,Forward
1642368,Center
1642377,Forward
1642854,Forward
1642382,Center
1642383,Guard
1642384,Forward
1642402,Forward
1642403,Forward
1642404,Guard
1642859,Guard
1642860,Forward
1642419,Forward
202681,Guard
202685,Center
202687,Center
1642434,Forward
202691,Guard
202695,Forward
202696,Center
202699,Forward
1642443,Guard
1642449,Forward
1642450,Guard
1630162,Guard
1630163,Guard
1630164,Center
1630166,Forward
202710,Forward
1630168,Forward-Center
1630169,Guard
1630167,Forward
