PLAYER_ID,POSITION
203017,F
204322,C-F
1628273,F
1630150,G
1630153,F
1627675,G
204355,G
1630095,F
1629480,C
1628881,F
203015,F
204335,G-F
1628890,G
1627674,G-F
201516,G
1628931,F
1628297,F
202664,G
1628906,F
1630113,F
1628922,F-C
203828,C
204323,F
202641,G
1629492,F
1629567,G
1630097,G-F
202662,G
201502,G
201896,G
204321,F
201886,F-G
203826,F
1627678,G
1628280,F
203849,F
1630149,F
1627669,G
1629497,G
203866,F
1629484,C
1628277,G
204330,F
1629481,G
1630093,C-F
1629478,F
203838,C-F
1630112,G
1628909,G
1630104,G
1630154,
200676,F
202650,F
1629568,
203831,F
1630100,F
1629479,
204365,G
1627700,G
1627676,G
1628927,G
1629498,G
202658,G
202670,C
204324,F
202633,C
1628276,G
204332,F
203411,G
1628263,G
203825,G
1628932,F
1628242,F
201881,F-G
204334,F
203029,G
201496,F-C
1630099,G
203437,G
203833,G
1628279,G
1628895,C
1628282,G
203014,F
1629485,F-C
200671,G-F
203824,G
1630101,G
1628882,G
1629524,F
203024,F
1627671,G
1630114,F
1628286,F
1629483,F
201480,C
203405,C
203018,G
1630127,F
1630136,F
1630119,G
1628915,G
203406,G
1630115,F
1630139,F-G
204320,C
1629477,G
1629502,G
1630131,F
1629476,G
204329,C
201913,C
1628278,G
100940,G
203400,G
203035,G
1629482,G
1628269,F
1629501,F
1627704,
203829,G
1629488,F
203398,C
202638,F
201518,F-C
1628920,C
1627670,F
203827,F
100720,G
202259,G
1629496,C
1628886,G
204319,G
1627668,F
202252,F
1628244,G
1630134,G
1629506,G
1628899,F
1630118,G
201507,G
1628878,G
203399,F-G
203403,F
1627672,F-G
202250,C
203416,F
1628268,C
203043,G
