PLAYER_ID,POSITION
1631044,F
1630462,G
202658,G
1641656,F
1631009,G
1628269,F
1641650,F-G
1628277,G
1630387,C
1629476,G
1628881,F
204323,F
204322,C-F
1627674,G-F
1629497,G
1641667,F
1629501,F
1627675,G
1630389,G
204330,F
1641641,F
1631021,F
1630113,F
1629571,F
203822,G
1629567,G
204296,G
1631135,C
203026,G
1630096,G-F
201886,F-G
203826,F
1641665,G
1628280,F
1630043,C
1630112,G
1630149,F
203824,G
203827,F
1629479,C
1641661,G
1630101,G
1631007,G
1641652,F
1629480,C
1629481,G
1630386,F
1628890,G
1628909,G
1631019,F
1628929,G
1641687,F
1641648,F-C
1631086,G
1630471,G
204365,G
1628242,F
1641658,G
1628927,G
204320,C
1629498,G
1631006,F
203029,G
201496,F-C
202252,F
1628276,G
203833,G
204297,C-F
1628932,C
204329,C
202641,G
1628268,C
1641660,G
1631002,G
1628882,G
204324,F
1630996,G-F
203823,F-C
202662,G
1628886,G
1631091,G
1628922,C
203406,G
203014,F
1629478,F
1628317,G
1641649,F
1628263,G
1627672,G
1629524,F
1629491,F
203831,F
1641657,F
1627671,G
203825,G
1629483,F
1627676,G
1631263,F
203866,F
1631055,F
1630139,F-G
1629477,G
1629566,C
202664,G
1629546,G
1627668,F
203828,C
1627673,F
204335,G-F
1631090,G
1630134,G
100940,G
203400,G
1627669,G
1629482,G
1629484,C
203035,G
1630446,F
1629488,F
1641653,G
1641690,F
203398,C
1628915,G
1628931,F
1631141,G
1630115,F
1641675,F-C
1629496,C
1628920,C
203389,G
1641651,G-F
204319,G
1628244,G
1631022,C-F
1628899,F
1641642,G
1631031,F-C
1628878,G
204333,G
203399,F-G
1628279,G
201911,G
203403,F
1628278,G
